time,bpm,percent
0.875662088394165,66,33.84615384615385
1.8872506618499756,67,34.35897435897436
2.9166595935821533,68,34.87179487179487
3.8672869205474854,69,35.38461538461539
4.887178421020508,69,35.38461538461539
6.306126117706299,68,34.87179487179487
6.8670570850372314,68,34.87179487179487
7.887385129928589,68,34.87179487179487
8.906595468521118,69,35.38461538461539
9.878890991210938,69,35.38461538461539
10.896301984786987,68,34.87179487179487
11.914561986923218,68,34.87179487179487
12.877756357192993,68,34.87179487179487
13.896132230758667,68,34.87179487179487
14.914986371994019,69,35.38461538461539
15.874793529510498,69,35.38461538461539
16.893304586410522,69,35.38461538461539
17.918625831604004,68,34.87179487179487
18.875743865966797,68,34.87179487179487
19.886387825012207,68,34.87179487179487
