time,bpm,percent,zone
1.3044118881225586,59,30.256410256410255,1
1.335186243057251,58,29.743589743589745,1
2.2943506240844727,59,30.256410256410255,1
3.295830488204956,59,30.256410256410255,1
4.274011135101318,59,30.256410256410255,1
5.272066831588745,59,30.256410256410255,1
6.254338502883911,59,30.256410256410255,1
7.256064176559448,58,29.743589743589745,1
8.243990898132324,58,29.743589743589745,1
9.235865116119385,58,29.743589743589745,1
10.214876174926758,58,29.743589743589745,1
11.216648817062378,58,29.743589743589745,1
12.195335865020752,58,29.743589743589745,1
13.184795379638672,58,29.743589743589745,1
14.18230128288269,59,30.256410256410255,1
15.174798488616943,60,30.76923076923077,1
16.164966344833374,60,30.76923076923077,1
17.145397663116455,60,30.76923076923077,1
18.147167444229126,59,30.256410256410255,1
19.12542700767517,59,30.256410256410255,1
20.113991498947144,59,30.256410256410255,1
21.112635612487793,60,30.76923076923077,1
22.10501766204834,60,30.76923076923077,1
23.084115505218506,61,31.28205128205128,1
24.08659338951111,61,31.28205128205128,1
25.07210111618042,60,30.76923076923077,1
27.045031547546387,60,30.76923076923077,1
27.07894468307495,61,31.28205128205128,1
28.03536343574524,62,31.794871794871792,1
29.03285789489746,65,33.33333333333333,1
30.01457381248474,66,33.84615384615385,1
31.01681661605835,67,34.35897435897436,1
32.006123304367065,70,35.8974358974359,1
32.99291491508484,72,36.92307692307693,1
33.9859721660614,74,37.94871794871795,1
34.97126126289368,75,38.46153846153847,1
35.966559171676636,76,38.97435897435898,1
36.94522142410278,76,38.97435897435898,1
37.934520959854126,77,39.48717948717949,1
38.93796396255493,77,39.48717948717949,1
39.92042636871338,77,39.48717948717949,1
40.905308961868286,76,38.97435897435898,1
41.89519381523132,75,38.46153846153847,1
42.89777660369873,74,37.94871794871795,1
44.381675720214844,72,36.92307692307693,1
45.372453927993774,71,36.41025641025641,1
46.36390542984009,71,36.41025641025641,1
47.33970069885254,70,35.8974358974359,1
48.33026742935181,70,35.8974358974359,1
49.32079720497131,71,36.41025641025641,1
50.31953239440918,72,36.92307692307693,1
52.29074430465698,71,36.41025641025641,1
52.29074430465698,70,35.8974358974359,1
53.28008008003235,69,35.38461538461539,1
54.26961803436279,68,34.87179487179487,1
55.26072645187378,67,34.35897435897436,1
56.261131286621094,66,33.84615384615385,1
57.24036884307861,66,33.84615384615385,1
58.230454444885254,65,33.33333333333333,1
59.22046661376953,64,32.82051282051282,1
60.21954655647278,63,32.30769230769231,1
61.200721979141235,63,32.30769230769231,1
62.19957780838013,62,31.794871794871792,1
63.180933237075806,62,31.794871794871792,1
64.16990447044373,61,31.28205128205128,1
65.17180752754211,60,30.76923076923077,1
66.15004587173462,59,30.256410256410255,1
67.1403603553772,59,30.256410256410255,1
68.12971520423889,59,30.256410256410255,1
69.13312458992004,59,30.256410256410255,1
70.11027097702026,59,30.256410256410255,1
71.10073041915894,60,30.76923076923077,1
72.1018180847168,60,30.76923076923077,1
73.080557346344,60,30.76923076923077,1
74.07109308242798,60,30.76923076923077,1
75.06046438217163,59,30.256410256410255,1
77.0480170249939,58,29.743589743589745,1
77.0480170249939,58,29.743589743589745,1
78.0298273563385,59,30.256410256410255,1
79.03210711479187,59,30.256410256410255,1
80.01730942726135,60,30.76923076923077,1
81.00065398216248,60,30.76923076923077,1
82.00177931785583,60,30.76923076923077,1
82.99142003059387,61,31.28205128205128,1
83.97822880744934,60,30.76923076923077,1
84.97267413139343,60,30.76923076923077,1
